,,Birthplace,Other Cities,County,education,adult residence,place of burial,Lifespan,,Colors,,,,
"Haardt, Sara",Sara Haardt,Montgomery,#Null,Montgomery,,Montgomery ,,1898-1935,,,,,,
"Haines, Carolyn",Carolyn Haines,#Null,Mobile and Semmes,Mobile,"Mobile, Mobile ", Semmes,,1953-PRESENT,,,,,,
"Harrington, Janice",Janice Harrington,Vernon,#Null,Lamar,,,,1956-PRESENT,needs an alabama authors page ,,,,,
"Harris, George Washington",George Washington Harris,#Null,Decatur, Morgan ,,Decatur,,1814-1869,,,,,,
"Hasford, Gustav",Gustav Hasford,#Null,"Russellville, Redmill, and Haleyville","Franklin, Walker, and Winston ",,,"Haleyville, Winston",1947-1993,,,,,,
"Haskins, James",James Haskins,Demopolis,Montgomery, Marengo and Montgomery ,"Montgomery, Montgomery ",,,1941-2005,,,,,,
"Hassel, Harriet",Harriet Hassel,#Null," Northport, Greensboro, and Tuscaloosa",Tuscaloosa and Hale ," Tuscaloosa, Tuscaloosa ", Northport and Greensboro,,1911-1970,,,,,,
"Hay, Sara Henderson",Sara Henderson Hay,#Null,Anniston,Calhoun ,,,,1906-1987,,,,,,
"Hearne, Betsy",Betsy Hearne,Wilsonville,#null,Shelby,,,,-1942,,,,,,
"Heath, W.L.",W.L. Heath,#null,Scottsboro and  Guntersville, Jackson and Marshall ,,Gunterville,,1924-2007,,,,,,
"Hellman, Lillian",Lillian Hellman,#null,Demopolis,Marengo ,,,,1905-1984,,,,,,
"Hemphill, Paul",Paul Hemphill,Birmingham ,Auburn,Jefferson and Lee," Auburn, Lee ",Birmingham,,1936-2009,,,,,,
"Henderson, Aileen Kilgore",Aileen Kilgore Henderson,Cedar Cove , Brookwood,Tuscaloosa,,Brookwood ,,-1921,,,,,,
"Henderson, George Wylie",George Wylie Henderson,Warriorstand,Wetumpka and Tuskegee," Macon, Elmore, and Macon "," Tuskegee, Macon ",,,1904-1965,,,,,,
"Hentz, Caroline Lee",Caroline Lee Hentz,#null,"Florence, Tuscaloosa, and Tuskegee"," Lauderdale, Tuscaloosa, and Macon ",,"Florence, Tuscaloosa, and Tuskegee",,1800-1856,,,,,,
"Hickam, Homer",Homer Hickam,#null,Huntsville,Madison,,Huntsville,,-1943,,,,,,
"Hoffman, Roy",Roy Hoffman,#null,Mobile and  Fairhope,Mobile and  Baldwin ,,Mobile and  Fairhope,,-1953,,,,,,
"Hooper, Johnson Jones",Johnson Jones Hooper,#null,"LaFayette,  Dadeville, Wetumpka, Tuscaloosa,  and Montgomery","Chambers, Tallapoosa, Elmore, Tuscaloosa, and Montgomery",,"LaFayette, Dadeville, Wetumpka, Tuscaloosa, and  Montgomery",,1815-1862,,,,,,
"Howard, Milford W.",Milford W. Howard,#null,"Fort Payne, Cullman, Birmingham, and Lookout Mountain, near Mentone","DeKalb, Cullman, and Jefferson ",,"Fort Payne, Cullman, Birmingham,and Lookout Mountain, near Mentone","Lookout Mountain, near Mentone, DeKalb",1862-1937,,,,,,
"Hudgins, Andrew",Andrew Hudgins,#null,Montgomery and Tuscaloosa,Montgomery and  Tuscaloosa,"Tuscaloosa, Tuscaloosa ",,,-1951,,,,,,
"Huggins, Peter","Peter, Huggins",#null,Tuscaloosa and Auburn,Tuscaloosa and Lee ,"Tuscaloosa, Tuscaloosa ", Auburn,,-1951,,,,,,
"Huie, William Bradford",William Bradford Huie,"Tuscaloosa, Birmingham, and Guntersville","Tuscaloosa, Birmingham, and Guntersville"," Morgan, Tuscaloosa, Jefferson, and Marshall","Tuscaloosa, Tuscaloosa",Hartselle and Birmingham," Guntersville, Marshall",1910-1986,,,,,,
"Hurston, Zora Neale",Zora Neale Hurston,Notasulga ,Mobile," Lee, Macon, and Mobile ",,,,1891-1960,,,,,,
"Ingraham, J.H.",J.H. Ingraham,#null,Mobile,Mobile,,Mobile,,1809-1860,,,,,,
"Inman, Robert",Robert Inman,Elba,Tuscaloosa and  Montgomery,"Coffee, Tuscaloosa, and Montgomery ","Tuscaloosa, Tuscaloosa ",Tuscaloosa and Montgomery,,-1943,,,,,,
"Johnson, Angela",Angela Johnson,Tuskegee,#null,Macon,,,,-1961,,,,,,
"Johnson, Rheta Grimsley",Rheta Grimsley Johnson,#null,"Montgomery, Auburn,Monroeville, and Birmingham","Montgomery, Lee, Monroe, and Jefferson ","Auburn, Lee ",Monroeville and Birmingham,,-1953,,,,,,
"Johnston, Mary",Mary Johnston,#null,Birmingham,Jefferson,,Birmingham,,1870-1936,,,,,,
"Jones, Madison",Madison Jones,#null,Auburn,Lee,,Auburn,,1925-2012,,,,,,
"Jones, Rodney",Rodney Jones,Hartselle,Auburn,Lee,Tuscaloosa ,Auburn,,-1950,,,,,,
"Keller, Helen",Helen Keller,Tuscumbia,#null,Colbert ,,,,1880-1968,,,,,,
"King Jr., Martin Luther",Martin Luther King Jr.,#null,"Montgomery, Birmingham, and Selma","Montgomery,  Jefferson, and Dallas ",,Montgomery ,,1929-1968,,,,,,
"King, Cassandra",Cassandra King,Pinckard,"Pinckard,Montevallo, Tuscaloosa, and  Pelham","Dale, Shelby, and Tuscaloosa ","Montevallo, Shelby ",Tuscaloosa and Pelham,,-1944,,,,,,
"Knight, Michael",Michael Knight,Mobile,#null,Mobile,,,,-1969,,,,,,
"Laan, Nancy Van",Nancy Van Laan,#null,Birmingham and Tuscaloosa,Jefferson and Tuscaloosa ," Tuscaloosa, Tuscaloosa ","Birmingham, Jefferson ",,-1939,https://apps.lib.ua.edu/blogs/this-goodly-land/author/?AuthorID=78,Needs an AL authors page ,,,,
"Lanier, Sidney",Sidney Lanier,#null,"Point Clear, Montgomery, and Prattville"," Baldwin, Montgomery, and Autauga ",,"Point Clear, Montgomery, and Prattville",,1842-1881,,,,,,
"Le Vert, Octavia Walton",Octavia Walton Le Vert,#null,Mobile,Mobile,,Mobile,,1811-1877,,,,,,
"Lee, Harper",Harper Lee,Monroeville,Montgomery and Tuscaloosa,"Monroe, Montgomery, and Tuscaloosa","Montgomery, Montgumery and Tuscaloosa, Tuscaloosa ",Monroeville,,1926-2016,,,,,,
"Liddell, Viola Goode",Viola Goode Liddell,Gastonburg,"Marion, Demopolis, Linden, and Camden","Wilcox, Perry, Marengo, and Wilcox ","Marion, Perry","Demopolis, Linden,and  Camden",,1901-1998,,,,,,
"Lincoln, Eric C.",Eric C. Lincoln,Athens,#null,Limestone,,,,1924-2000,,,,,,
"Lytle, Andrew",Andrew Lytle,#null,Cornsilk Farm and Huntsville,Marshall and Madison,,Cornsilk Farm,,1902-1995,,,,,,
"March, William",William March,Mobile,"Lockhart, Tuscaloosa, and Point Clear","Mobile, Covington, Tuscaloosa, and Baldwin","Tuscaloosa, Tuscaloosa ",Mobile and Point Clear ,,1894-1954,,,,,,
"McAfee, Thomas",Thomas McAfee,Haleyville,#null,Winston ,,,,1928-1982,,,,,,
"McCammon, Robert R.",Robert R. McCammon,Birmingham ,Tuscaloosa,Jefferson and Tuscaloosa,"Tuscaloosa, Tuscaloosa",Birmingham ,,-1952,,,,,,
"Meek, A.B.",A.B. Meek,#null,"Tuscaloosa, Mobile, and Montgomery","Tuscaloosa, Mobile, and Montgomery","Tuscaloosa, Tuscaloosa ",Mobile,,1814-1865,,,,,,
"Miller, William",William Miller ,Anniston,Birmingham and Jacksonville,Calhoun and Jefferson,"Birmingham, Jefferson","Jacksonville, ",,-1959,"Needs portrait but was put on map, fix line 54 on php file",,,,,
"Moore, Idora McClellan",Idora McClellan Moore,Idlewild Plantation near Talladega," Talladega, Summerfield, Riddle's Mill,and Auburn"," Talladega, Dallas, and Lee ","Talladega, Talladega, and Summerfield, Dallas "," Talladega, Riddle's Mill, and Auburn",,1843-1929,,,,,,
"Moore, John Trotwood",John Trotwood Moore,Marion,Monterey and Pine Apple,"Perry, Butler, and Wilcox ",Birmingham,"Marion, Monterey, and Pine Apple",,1858-1929,,,,,,
"Murray, Albert",Albert Murray,Nokomis,"Magazine Point, Prichard, and Tuskegee","Escambia, Mobile, and Macon ","Prichard, Mobile and Tuskegee, Macon ",Tuskegee,,1916-2013,,,,,,
"Naslund, Sena Jeter",Sena Jeter Naslund,Birmingham,#null,Jefferson,"Birmingham, Jefferson",,,-1942,,,,,,
"Nolan, Han",Han Nolan,Birmingham,Dothan and Hoover,Jefferson and Houston,,Hoover,,-1956,Might need to be revisted ,,,,,
"Norris, Helen",Helen Norris,#null,"Montgomery, Tuscaloosa, Birmingham, and  Sylacauga","Montgomery,  Tuscaloosa, Jefferson, and Talladega ","Tuscaloosa, Tuscaloosa ","Montgomery, Birmingham, and Sylacauga",,1916-2013,,,,,,
"Packer, Nancy Huddleston",Nancy Huddleston Packer ,#null,Birmingham, Jefferson  ,,Birmingham,,-1925,,,,,,
"Palmer, Florence Glass",Florence Glass Palmer,Uniontown,#null,Perry  ,,Uniontown,,1895-1977,,,,,,
"Patterson, Richard North",Richard North Patterson,#null,Birmingham, Jefferson  ,,Birmingham,,-1947,,,,,,
"Peck, Samuel Minturn",Samuel Minturn Peck,Tuscaloosa,Tuscaloosa,Tuscaloosa,"Tuscaloosa, Tuscaloosa",Tuscaloosa,,1854-1938,,,,,,
